NP_000509.1,XEF57200.1,86.471,170,0,1,1,147,1,170,1.53e-97,288,86.47
NP_000509.1,AAA35597.1,93.197,147,10,0,1,147,1,147,1.90e-93,277,93.20
NP_000509.1,NP_001257812.1,89.796,147,15,0,1,147,1,147,1.31e-92,275,93.88
NP_000509.1,NP_001291814.1,89.796,147,15,0,1,147,1,147,6.50e-92,273,93.88
NP_000509.1,NP_001291812.1,89.796,147,15,0,1,147,1,147,7.25e-92,273,93.88
NP_000509.1,KAM8815943.1,89.116,147,16,0,1,147,1,147,2.35e-91,271,92.52
NP_000509.1,EFB18430.1,90.476,147,14,0,1,147,112,258,3.09e-91,275,94.56
NP_000509.1,EFB18430.1,73.333,105,28,0,1,105,1,105,1.21e-49,170,86.67
NP_000509.1,SAI82279.1,88.435,147,17,0,1,147,47,193,7.76e-91,272,92.52
NP_000509.1,XP_011830554.1,89.796,147,15,0,1,147,1,147,8.02e-91,270,93.88
NP_000509.1,WP_221411036.1,87.755,147,18,0,1,147,16,162,3.59e-90,269,92.52
NP_000509.1,XP_044775197.1,86.395,147,20,0,1,147,1,147,1.29e-89,267,92.52
NP_000509.1,GAB9666058.1,86.184,152,16,1,1,147,1,152,1.23e-88,265,90.13
NP_000509.1,ELK09417.1,89.116,147,16,0,1,147,217,363,1.84e-88,272,93.20
NP_000509.1,ELK09417.1,87.970,133,16,0,1,133,1,133,4.58e-78,245,92.48
NP_000509.1,P11752.1,86.301,146,20,0,2,147,1,146,2.04e-88,264,92.47
NP_000509.1,AAA35952.1,100.000,128,0,0,1,128,1,128,9.36e-88,263,100.00
NP_000509.1,XP_076969900.1,86.395,147,20,0,1,147,1,147,2.47e-87,261,91.16
NP_000509.1,KAN3658820.1,85.714,147,21,0,1,147,58,204,4.37e-87,263,91.16
NP_000509.1,765952B,84.932,146,22,0,2,147,1,146,1.04e-86,259,95.21
NP_000509.1,XP_004618299.1,84.354,147,23,0,1,147,1,147,1.44e-86,259,90.48
NP_000509.1,XP_004642055.1,83.673,147,24,0,1,147,1,147,4.14e-86,258,91.16
NP_000509.1,GAC2893078.1,81.633,147,27,0,1,147,1,147,5.38e-86,258,91.16
NP_000509.1,P20855.1,84.247,146,23,0,2,147,1,146,8.16e-86,257,91.78
NP_000509.1,NP_001138313.1,85.034,147,22,0,1,147,1,147,8.26e-86,257,89.12
NP_000509.1,P19016.1,85.616,146,21,0,2,147,1,146,9.41e-86,257,89.73
NP_000509.1,P19646.1,85.417,144,21,0,4,147,3,146,1.05e-85,257,91.67
NP_000509.1,XP_004651012.1,82.313,147,26,0,1,147,1,147,2.50e-85,256,90.48
NP_000509.1,XP_037696241.1,83.673,147,24,0,1,147,1,147,2.53e-85,256,91.84
NP_000509.1,XP_053059579.1,80.952,147,28,0,1,147,1,147,3.36e-85,256,90.48
NP_000509.1,AGU26656.1,81.633,147,27,0,1,147,1,147,4.94e-85,255,91.16
NP_000509.1,P02090.1,82.192,146,26,0,2,147,1,146,5.94e-85,255,91.10
NP_000509.1,NP_001297213.1,82.313,147,26,0,1,147,1,147,1.84e-84,254,90.48
NP_000509.1,KAN7624650.1,84.354,147,23,0,1,147,1,147,2.61e-84,254,88.44
NP_000509.1,P02054.1,84.028,144,23,0,4,147,3,146,4.99e-84,253,90.97
NP_000509.1,NP_001300972.1,90.476,147,14,0,1,147,1,147,7.90e-84,253,93.88
NP_000509.1,KAI5929176.1,80.952,147,28,0,1,147,1,147,1.50e-83,252,89.80
NP_000509.1,XP_007533488.1,81.633,147,27,0,1,147,1,147,2.32e-83,251,88.44
NP_000509.1,B3EWD2.1,82.877,146,25,0,2,147,1,146,2.42e-83,251,91.10
NP_000509.1,KAM8923719.1,79.592,147,30,0,1,147,1,147,3.41e-83,251,89.80
NP_000509.1,XP_010616265.1,80.272,147,29,0,1,147,1,147,5.17e-83,250,90.48
NP_000509.1,KAL1774471.1,80.272,147,29,0,1,147,1,147,6.87e-83,250,87.76
NP_000509.1,XP_004433953.1,78.231,147,32,0,1,147,1,147,7.50e-83,250,90.48
NP_000509.1,NP_058652.1,80.272,147,29,0,1,147,1,147,1.67e-82,249,89.12
NP_000509.1,P02052.1,82.192,146,26,0,2,147,1,146,2.40e-82,249,91.78
NP_000509.1,XP_007533489.1,77.551,147,33,0,1,147,1,147,2.59e-82,249,89.80
NP_000509.1,NP_999612.1,77.551,147,33,0,1,147,1,147,3.26e-82,248,89.12
NP_000509.1,KAI5208935.1,85.034,147,22,0,1,147,337,483,3.67e-82,259,90.48
NP_000509.1,KAI5208935.1,71.724,145,41,0,1,145,21,165,1.06e-68,225,86.21
NP_000509.1,KAI5208935.1,42.500,160,33,2,2,130,199,330,2.68e-25,111,48.12
NP_000509.1,XP_008050888.1,78.231,147,32,0,1,147,1,147,7.19e-82,248,89.80
NP_000509.1,NP_001266192.1,79.592,147,30,0,1,147,1,147,7.93e-82,247,88.44
NP_000509.1,XP_059265584.1,79.592,147,30,0,1,147,1,147,8.47e-82,247,89.80
NP_000509.1,XP_055475096.1,80.952,147,28,0,1,147,1,147,8.66e-82,247,86.39
NP_000509.1,XP_084750526.1,77.551,147,33,0,1,147,28,174,8.75e-82,248,88.44
NP_000509.1,XP_037696238.1,78.231,147,32,0,1,147,1,147,9.15e-82,247,89.12
NP_000509.1,XP_032974741.1,77.551,147,33,0,1,147,1,147,9.45e-82,247,88.44
NP_000509.1,KAK2494734.1,85.034,147,22,0,1,147,482,628,1.49e-81,262,92.52
NP_000509.1,KAK2494734.1,76.552,145,34,0,1,145,1,145,1.67e-73,241,90.34
NP_000509.1,KAK2494734.1,71.053,114,33,0,31,144,250,363,7.47e-50,179,85.96
NP_000509.1,KAK2494734.1,45.349,86,33,1,60,145,179,250,8.99e-11,70.5,59.30
NP_000509.1,XP_030687064.1,87.755,147,18,0,1,147,1,147,1.69e-81,246,92.52
NP_000509.1,GAB5577474.1,81.633,147,27,0,1,147,155,301,1.72e-81,252,88.44
NP_000509.1,GAB5577474.1,70.833,144,42,0,1,144,1,144,9.82e-70,222,85.42
NP_000509.1,NP_001103977.1,77.551,147,33,0,1,147,1,147,1.81e-81,246,89.12
NP_000509.1,NP_001104739.1,78.912,147,31,0,1,147,1,147,2.02e-81,246,87.07
NP_000509.1,XP_001365409.1,76.871,147,34,0,1,147,1,147,2.77e-81,246,89.12
NP_000509.1,KAO0893621.1,79.861,144,29,0,1,144,1,144,2.98e-81,246,88.19
NP_000509.1,XP_075404663.1,77.551,147,33,0,1,147,1,147,3.06e-81,246,89.12
NP_000509.1,KAM4850973.1,74.830,147,37,0,1,147,1,147,3.27e-81,246,91.16
NP_000509.1,KAM4845309.1,79.592,147,30,0,1,147,1,147,3.30e-81,246,87.76
NP_000509.1,B3EWD8.1,79.452,146,30,0,2,147,1,146,4.48e-81,245,89.04
NP_000509.1,P07410.1,77.397,146,33,0,2,147,1,146,1.06e-80,244,89.04
NP_000509.1,KAO0893620.1,75.510,147,36,0,1,147,1,147,1.07e-80,244,88.44
NP_000509.1,KAN7991170.1,76.190,147,35,0,1,147,1,147,1.31e-80,244,89.80
NP_000509.1,XP_036284037.1,76.871,147,34,0,1,147,1,147,1.40e-80,244,87.76
NP_000509.1,1CH4_A,82.192,146,26,0,2,147,1,146,1.60e-80,244,86.30
NP_000509.1,XP_037377646.1,76.871,147,34,0,1,147,1,147,1.67e-80,244,88.44
NP_000509.1,AJQ20777.1,77.551,147,33,0,1,147,1,147,1.79e-80,244,87.76
NP_000509.1,XP_004391255.1,81.119,143,27,0,5,147,1,143,1.99e-80,244,86.71
NP_000509.1,XP_051005078.1,78.231,147,32,0,1,147,1,147,2.90e-80,243,87.76
NP_000509.1,XP_053781668.1,76.871,147,34,0,1,147,1,147,5.18e-80,243,87.07
NP_000509.1,NP_001267811.1,80.952,147,28,0,1,147,1,147,5.29e-80,243,87.76
NP_000509.1,ADJ17355.1,76.871,147,34,0,1,147,1,147,7.52e-80,242,87.76
NP_000509.1,XP_047372796.1,76.190,147,35,0,1,147,1,147,8.21e-80,242,88.44
NP_000509.1,XP_016070463.1,76.190,147,35,0,1,147,1,147,8.58e-80,242,88.44
NP_000509.1,XP_004590017.2,85.034,147,22,0,1,147,1,147,1.36e-79,242,91.84
NP_000509.1,XP_042544957.1,78.231,147,32,0,1,147,1,147,1.62e-79,241,87.76
NP_000509.1,B3EWC8.1,85.616,146,21,0,2,147,1,146,1.64e-79,241,91.10
NP_000509.1,NP_001162322.1,74.830,147,37,0,1,147,1,147,1.66e-79,241,88.44
NP_000509.1,XP_052011964.1,76.871,147,34,0,1,147,1,147,1.85e-79,241,85.03
NP_000509.1,Q95238.3,74.830,147,37,0,1,147,1,147,1.93e-79,241,88.44
NP_000509.1,KAK2100851.1,76.190,147,35,0,1,147,23,169,1.96e-79,242,89.12
NP_000509.1,XP_080558934.1,84.354,147,23,0,1,147,1,147,2.33e-79,241,90.48
NP_000509.1,KAB0388602.1,77.931,145,32,0,1,145,1,145,2.55e-79,248,90.34
NP_000509.1,KAB0388602.1,53.378,148,58,2,1,147,199,336,1.06e-42,154,68.24
NP_000509.1,NP_001164975.1,75.510,147,36,0,1,147,1,147,2.77e-79,241,87.76
NP_000509.1,SAI82234.1,75.510,147,36,0,1,147,43,189,2.82e-79,243,87.76
NP_000509.1,XP_054297301.1,76.190,147,35,0,1,147,46,192,3.15e-79,243,89.12
NP_000509.1,NP_001129304.1,75.510,147,36,0,1,147,1,147,4.80e-79,240,88.44
NP_000509.1,P08223.2,74.830,147,37,0,1,147,1,147,4.80e-79,240,88.44
NP_000509.1,KAM5247591.1,75.510,147,36,0,1,147,1,147,5.18e-79,240,89.12
NP_000509.1,XP_008569536.1,85.034,147,22,0,1,147,1,147,5.60e-79,240,90.48
NP_000509.1,XP_012869643.1,74.830,147,37,0,1,147,1,147,7.44e-79,240,87.76
NP_000509.1,XP_058925545.1,84.354,147,23,0,1,147,1,147,7.77e-79,240,89.80
NP_000509.1,YFO35200.1,74.830,147,37,0,1,147,1,147,8.21e-79,240,87.76
NP_000509.1,AFH54892.1,83.673,147,24,0,1,147,1,147,1.18e-78,239,92.52
NP_000509.1,XP_040613328.1,75.510,147,36,0,1,147,1,147,1.25e-78,239,87.07
NP_000509.1,P14526.3,78.231,147,32,0,1,147,1,147,1.26e-78,239,87.07


