# blastp
# Iteration: 0
# Query: NP_000509.1 hemoglobin subunit beta [Homo sapiens]
# RID: 745P9SW3014
# Database: nr_cluster_seq
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 29 hits found
NP_000509.1	XEF57200.1	86.471	170	0	1	1	147	1	170	1.53e-97	288	86.47
NP_000509.1	NP_001257812.1	89.796	147	15	0	1	147	1	147	1.31e-92	275	93.88
NP_000509.1	KAM8815943.1	89.116	147	16	0	1	147	1	147	2.35e-91	271	92.52
NP_000509.1	EFB18430.1	90.476	147	14	0	1	147	112	258	3.09e-91	275	94.56
NP_000509.1	EFB18430.1	73.333	105	28	0	1	105	1	105	1.21e-49	170	86.67
NP_000509.1	SAI82279.1	88.435	147	17	0	1	147	47	193	7.76e-91	272	92.52
NP_000509.1	XP_011830554.1	89.796	147	15	0	1	147	1	147	8.02e-91	270	93.88
NP_000509.1	GAB9666058.1	86.184	152	16	1	1	147	1	152	1.23e-88	265	90.13
NP_000509.1	ELK09417.1	89.116	147	16	0	1	147	217	363	1.84e-88	272	93.20
NP_000509.1	ELK09417.1	87.970	133	16	0	1	133	1	133	4.58e-78	245	92.48
NP_000509.1	P11752.1	86.301	146	20	0	2	147	1	146	2.04e-88	264	92.47
NP_000509.1	XP_076969900.1	86.395	147	20	0	1	147	1	147	2.47e-87	261	91.16
NP_000509.1	GAC2893078.1	81.633	147	27	0	1	147	1	147	5.38e-86	258	91.16
NP_000509.1	NP_001138313.1	85.034	147	22	0	1	147	1	147	8.26e-86	257	89.12
NP_000509.1	P19016.1	85.616	146	21	0	2	147	1	146	9.41e-86	257	89.73
NP_000509.1	XP_037696241.1	83.673	147	24	0	1	147	1	147	2.53e-85	256	91.84
NP_000509.1	AGU26656.1	81.633	147	27	0	1	147	1	147	4.94e-85	255	91.16
NP_000509.1	NP_001297213.1	82.313	147	26	0	1	147	1	147	1.84e-84	254	90.48
NP_000509.1	KAN7624650.1	84.354	147	23	0	1	147	1	147	2.61e-84	254	88.44
NP_000509.1	P02054.1	84.028	144	23	0	4	147	3	146	4.99e-84	253	90.97
NP_000509.1	NP_001300972.1	90.476	147	14	0	1	147	1	147	7.90e-84	253	93.88
NP_000509.1	XP_007533488.1	81.633	147	27	0	1	147	1	147	2.32e-83	251	88.44
NP_000509.1	KAM8923719.1	79.592	147	30	0	1	147	1	147	3.41e-83	251	89.80
NP_000509.1	KAL1774471.1	80.272	147	29	0	1	147	1	147	6.87e-83	250	87.76
NP_000509.1	KAI5208935.1	85.034	147	22	0	1	147	337	483	3.67e-82	259	90.48
NP_000509.1	KAI5208935.1	71.724	145	41	0	1	145	21	165	1.06e-68	225	86.21
NP_000509.1	KAI5208935.1	42.500	160	33	2	2	130	199	330	2.68e-25	111	48.12
NP_000509.1	XP_055475096.1	80.952	147	28	0	1	147	1	147	8.66e-82	247	86.39
NP_000509.1	XP_030687064.1	87.755	147	18	0	1	147	1	147	1.69e-81	246	92.52


